Date : 2020-12-09 09:17:25
Directory : c:\Users\Eden\Desktop\קורס WEB\trililo
Total : 190 files,  48447 codes, 440 comments, 564 blanks, all 49451 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\app.vue                                                 | Vue        |         56 |          1 |          4 |         61 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\backup.json                                      | JSON       |     12,639 |          0 |          0 |     12,639 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\1stPos.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\2ndPos.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\Logo.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\Muscle.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\activities.svg                               | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\attach.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\card.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\checklist.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\clock-white.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\clock.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\clone.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\copy-white.svg                               | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\copy.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\cover.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\desc.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\edit.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\eye.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\home.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\label-white.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\label.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\logo-title.svg                               | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\logo-title1.1.svg                            | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\logo-title1.2.svg                            | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\logo1.1.svg                                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\logo1.2.svg                                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\logo1.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\logo2.1.svg                                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\logo2.2@2x.svg                               | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\logo2.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\member-white.svg                             | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\member.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\move-white.svg                               | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\move.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\notification.svg                             | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\pen.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\template.svg                                 | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\textbox.svg                                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\txtbox.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\assets\svg\‏‏descsmall.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\activity-preview.cmp.vue                           | Vue        |         78 |          0 |          3 |         81 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\board\add-users.cmp.vue                            | Vue        |        113 |          3 |          5 |        121 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\board\board-header.cmp.vue                         | Vue        |        200 |          0 |          6 |        206 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\board\board-preview.cmp.vue                        | Vue        |         40 |          0 |          3 |         43 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\board\group-menu.cmp.vue                           | Vue        |         62 |          0 |          3 |         65 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\board\group.cmp.vue                                | Vue        |        319 |          1 |          9 |        329 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\board\menu\bg-picker.cmp.vue                       | Vue        |         83 |          0 |          2 |         85 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\board\menu\board-menu.cmp.vue                      | Vue        |        141 |          1 |          3 |        145 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\board\menu\board-search.cmp.vue                    | Vue        |        108 |          0 |          9 |        117 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\card\card-details\add-checklist.cmp.vue            | Vue        |         38 |          0 |          2 |         40 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\card\card-details\card-activity.cmp.vue            | Vue        |        139 |          0 |          4 |        143 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\card\card-details\card-attachments.cmp.vue         | Vue        |         52 |          0 |          3 |         55 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\card\card-details\card-checklist.cmp.vue           | Vue        |        118 |          0 |          2 |        120 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\card\card-details\card-cover.cmp.vue               | Vue        |        149 |          0 |          2 |        151 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\card\card-details\card-description.cmp.vue         | Vue        |         57 |          0 |          1 |         58 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\card\card-details\card-labels.cmp.vue              | Vue        |         46 |          0 |          2 |         48 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\card\card-details\card-move.cmp.vue                | Vue        |         94 |          0 |          3 |         97 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\card\card-details\pop-up.cmp.vue                   | Vue        |         23 |          0 |          2 |         25 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\card\card-edit.cmp.vue                             | Vue        |          7 |          0 |          4 |         11 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\card\card-menu-edit.cmp.vue                        | Vue        |        496 |          8 |          8 |        512 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\card\card-preview.cmp.vue                          | Vue        |        196 |          0 |          3 |        199 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\card\item-preview.cmp.vue                          | Vue        |         61 |          0 |          1 |         62 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\card\label-preview.cmp.vue                         | Vue        |         69 |          0 |          2 |         71 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\custom-elements\add-members.cmp.vue                | Vue        |         99 |          0 |          2 |        101 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\custom-elements\chart.cmp.vue                      | Vue        |         26 |          1 |          4 |         31 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\custom-elements\check-box.cmp.vue                  | Vue        |         21 |          0 |          0 |         21 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\custom-elements\custom-avatar.cmp.vue              | Vue        |         67 |          0 |          3 |         70 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\custom-elements\date-picker.cmp.vue                | Vue        |         65 |          1 |          1 |         67 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\custom-elements\select-list.cmp.vue                | Vue        |         30 |          0 |          1 |         31 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\custom-elements\select-position.cmp.vue            | Vue        |         30 |          0 |          1 |         31 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\dashboard.cmp.vue                                  | Vue        |         56 |          0 |          2 |         58 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\facebook-login.cmp.vue                             | Vue        |         47 |          0 |          2 |         49 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\cmps\main-header.cmp.vue                                | Vue        |        225 |          0 |          4 |        229 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\main.js                                                 | JavaScript |         23 |          0 |          6 |         29 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\registerServiceWorker.js                                | JavaScript |         29 |          1 |          3 |         33 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\router\routes.js                                        | JavaScript |         44 |          0 |          4 |         48 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\services\activity.service.js                            | JavaScript |         23 |          0 |          5 |         28 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\services\board.service.js                               | JavaScript |        138 |          0 |         10 |        148 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\services\http.service.js                                | JavaScript |         38 |          0 |          5 |         43 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\services\img-upload.service.js                          | JavaScript |         15 |          0 |          1 |         16 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\services\socket.service.js                              | JavaScript |         27 |          0 |          5 |         32 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\services\user.service.js                                | JavaScript |         49 |          1 |         11 |         61 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\services\util.service.js                                | JavaScript |         28 |          0 |          6 |         34 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\store\modules\board.store.js                            | JavaScript |        135 |         19 |          2 |        156 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\store\modules\card.store.js                             | JavaScript |         48 |          0 |          2 |         50 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\store\modules\user.store.js                             | JavaScript |         73 |          1 |          2 |         76 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\store\store.js                                          | JavaScript |         65 |          0 |          3 |         68 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\styles\basics\_base.scss                                | SCSS       |         60 |          0 |         12 |         72 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\styles\basics\_helpers.scss                             | SCSS       |        133 |         17 |         33 |        183 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\styles\basics\_layout.scss                              | SCSS       |         12 |          0 |          0 |         12 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\styles\basics\_scrollbar.scss                           | SCSS       |         35 |          0 |          9 |         44 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\styles\basics\_swal.scss                                | SCSS       |         78 |          0 |         16 |         94 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\styles\cmps\_activity-preview.scss                      | SCSS       |         54 |          1 |          9 |         64 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\styles\cmps\_board-header.scss                          | SCSS       |        259 |          0 |          0 |        259 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\styles\cmps\_board-menu.scss                            | SCSS       |        220 |          1 |         40 |        261 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\styles\cmps\_board-preview.scss                         | SCSS       |         39 |          0 |          8 |         47 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\styles\cmps\_card-checklist.scss                        | SCSS       |        105 |          0 |          0 |        105 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\styles\cmps\_card-cover.scss                            | SCSS       |        320 |          2 |         72 |        394 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\styles\cmps\_card-description.scss                      | SCSS       |         42 |          0 |          0 |         42 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\styles\cmps\_card-labels.scss                           | SCSS       |         47 |          0 |          0 |         47 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\styles\cmps\_card-menu-edit.scss                        | SCSS       |        154 |          1 |          0 |        155 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\styles\cmps\_card-preview.scss                          | SCSS       |        156 |          1 |          0 |        157 |
| c:\Users\Eden\Desktop\קורס WEB\trililo\frontend\src\styles\cmps\_dashboard.scss                             | SCSS       |         15 |          0 |          0 |         15 |
